candidate_id,beta_flex,beta_extend,minimum_warp_derivative,warped_phase_min,warped_phase_max,q_closure_error_rad,dq_closure_error_rad_s,ddq_closure_error_rad_s2,branch_anchor_q_max_error_rad,branch_anchor_dq_max_error_rad_s,branch_anchor_ddq_max_error_rad_s2,peak_abs_knee_dq_deg_s,rms_knee_dq_deg_s,peak_abs_knee_ddq_deg_s2,rms_knee_ddq_deg_s2,peak_abs_knee_jerk_deg_s3,rms_knee_jerk_deg_s3,kinematic_gate_pass
MYOLEG_V3_K0025,-0.0275,-0.03,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.826181129143148,11.67032101249426,15.562447731862543,6.032482764134326,133.79963387771448,23.981083322433083,True
MYOLEG_V3_K0026,-0.0275,-0.0275,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.745057055992522,11.664318341681108,16.045520479803653,6.0229527829811405,162.80055942219457,24.0092834690862,True
MYOLEG_V3_K0027,-0.0275,-0.025,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.63648689763539,11.658743586329223,16.09718079722128,6.003278917804179,133.02105938186398,23.18878006126106,True
MYOLEG_V3_K0028,-0.0275,-0.0225,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.582100930702534,11.65356442229374,16.542566855703566,6.004479122678087,160.99737786428645,23.690978605917635,True
MYOLEG_V3_K0029,-0.0275,-0.02,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.53578196455092,11.648759219480453,16.09720206792273,6.013458541252686,145.30335060383544,24.312676578213107,True
MYOLEG_V3_K0030,-0.0275,-0.0175,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.465887304463088,11.644367767471383,16.087660631715263,6.000891402542099,154.01699293376635,23.552153222757234,True
MYOLEG_V3_K0031,-0.0275,-0.015,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.40450123231412,11.640392882107662,16.223553991640394,5.989027221804112,123.24018981046099,22.821699901539382,True
MYOLEG_V3_K0032,-0.0275,-0.0125,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.391788849990814,11.636827578706681,16.83351829494726,5.999322600868897,140.82080421526388,23.442881620867315,True
MYOLEG_V3_K0033,-0.0275,-0.01,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.356304303139876,11.63366367308724,16.853202118937624,6.022346037026405,157.96667849559367,24.65000396186966,True
MYOLEG_V3_K0034,-0.0275,-0.0075,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.297172258414612,11.630909417136358,16.86687724164785,6.005972945321278,146.64828316784107,23.290687845452897,True
MYOLEG_V3_K0035,-0.0275,-0.005,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.31757034209829,11.628566511681381,16.87446243162595,6.0028960775300195,116.06324038737841,22.705530846409932,True
MYOLEG_V3_K0036,-0.0275,-0.0025,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.315198396421966,11.626628356055381,16.945534181989466,6.025024824716451,128.11485656355535,23.65366829402851,True
MYOLEG_V3_K0037,-0.0275,0.0,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.290056421386033,11.625095013785499,17.826758226796514,6.072216121034582,171.58937243907474,25.976519636225856,True
