family,subject_a,subject_b,spearman_rank,oracle_a,oracle_b,oracle_same,oracle_distance,transfer_a_to_b_regret_pct,transfer_b_to_a_regret_pct
KEY_POSTURE_TIMING,MYOLEG_VP_001,MYOLEG_VP_007,0.9994848880480363,KEY_POSTURE_TIMING:383,KEY_POSTURE_TIMING:383,True,0.0,0.0,0.0
KEY_POSTURE_TIMING,MYOLEG_VP_001,MYOLEG_VP_009,0.9998364395329377,KEY_POSTURE_TIMING:383,KEY_POSTURE_TIMING:383,True,0.0,0.0,0.0
KEY_POSTURE_TIMING,MYOLEG_VP_001,MYOLEG_VP_010,0.9992919281046158,KEY_POSTURE_TIMING:383,KEY_POSTURE_TIMING:383,True,0.0,0.0,0.0
KEY_POSTURE_TIMING,MYOLEG_VP_001,MYOLEG_VP_011,0.9994809543152842,KEY_POSTURE_TIMING:383,KEY_POSTURE_TIMING:383,True,0.0,0.0,0.0
KEY_POSTURE_TIMING,MYOLEG_VP_001,MYOLEG_VP_013,0.9993797124565581,KEY_POSTURE_TIMING:383,KEY_POSTURE_TIMING:383,True,0.0,0.0,0.0
KEY_POSTURE_TIMING,MYOLEG_VP_001,MYOLEG_VP_014,0.9995399603065662,KEY_POSTURE_TIMING:383,KEY_POSTURE_TIMING:383,True,0.0,0.0,0.0
KEY_POSTURE_TIMING,MYOLEG_VP_001,MYOLEG_VP_015,0.999909524146701,KEY_POSTURE_TIMING:383,KEY_POSTURE_TIMING:383,True,0.0,0.0,0.0
KEY_POSTURE_TIMING,MYOLEG_VP_001,MYOLEG_VP_017,0.9998072470951455,KEY_POSTURE_TIMING:383,KEY_POSTURE_TIMING:383,True,0.0,0.0,0.0
KEY_POSTURE_TIMING,MYOLEG_VP_001,MYOLEG_VP_018,0.9997991725910752,KEY_POSTURE_TIMING:383,KEY_POSTURE_TIMING:383,True,0.0,0.0,0.0
KEY_POSTURE_TIMING,MYOLEG_VP_001,MYOLEG_VP_019,0.9995070411745878,KEY_POSTURE_TIMING:383,KEY_POSTURE_TIMING:383,True,0.0,0.0,0.0
KEY_POSTURE_TIMING,MYOLEG_VP_001,MYOLEG_VP_021,0.9990163597734004,KEY_POSTURE_TIMING:383,KEY_POSTURE_TIMING:383,True,0.0,0.0,0.0
KEY_POSTURE_TIMING,MYOLEG_VP_001,MYOLEG_VP_022,0.9997527959523133,KEY_POSTURE_TIMING:383,KEY_POSTURE_TIMING:383,True,0.0,0.0,0.0
KEY_POSTURE_TIMING,MYOLEG_VP_001,MYOLEG_VP_023,0.9998178060620064,KEY_POSTURE_TIMING:383,KEY_POSTURE_TIMING:383,True,0.0,0.0,0.0
KEY_POSTURE_TIMING,MYOLEG_VP_001,MYOLEG_VP_025,0.9999623189810058,KEY_POSTURE_TIMING:383,KEY_POSTURE_TIMING:383,True,0.0,0.0,0.0
KEY_POSTURE_TIMING,MYOLEG_VP_001,MYOLEG_VP_026,0.9999853002618211,KEY_POSTURE_TIMING:383,KEY_POSTURE_TIMING:383,True,0.0,0.0,0.0
KEY_POSTURE_TIMING,MYOLEG_VP_001,MYOLEG_VP_027,0.9990623223350307,KEY_POSTURE_TIMING:383,KEY_POSTURE_TIMING:383,True,0.0,0.0,0.0
KEY_POSTURE_TIMING,MYOLEG_VP_001,MYOLEG_VP_029,0.9996244320414542,KEY_POSTURE_TIMING:383,KEY_POSTURE_TIMING:383,True,0.0,0.0,0.0
KEY_POSTURE_TIMING,MYOLEG_VP_001,MYOLEG_VP_030,0.9999627330581378,KEY_POSTURE_TIMING:383,KEY_POSTURE_TIMING:383,True,0.0,0.0,0.0
