subject_id,split,boundary_side,hip_deg,knee_deg,knee_velocity_deg_s,required_knee_drive_nm,subject_reference_knee_rms_nm,joint_limit_knee_contribution_nm,absolute_joint_limit_knee_contribution_nm,relative_joint_limit_contribution,joint_limit_active_count,contact_active_count,source_equality_residual_max,solver_warning_count,finite,artifact_gate_pass
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,30.0,119.5,1.0,1.2281144945794367e-13,11.075814287716018,0.0019981025941385824,0.0019981025941385824,0.0001804023200673057,1,0,1.9984014443252818e-15,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,60.0,119.5,-1.0,-2.2321854347834087e-13,11.075814287716018,0.0019097642059334335,0.0019097642059334335,0.00017242652831869147,1,0,1.9984014443252818e-15,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,60.0,119.5,0.0,-2.1172290669757435e-13,11.075814287716018,0.0018420519472624203,0.0018420519472624203,0.00016631300411974281,1,0,1.9984014443252818e-15,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,60.0,119.5,1.0,-2.1387058020986068e-13,11.075814287716018,0.001774343847389585,0.001774343847389585,0.0001601998554054375,1,0,1.9984014443252818e-15,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,90.0,119.5,-1.0,-6.97112193560162e-14,11.075814287716018,0.001547618137109987,0.001547618137109987,0.0001397295130549834,1,0,1.9984014443252818e-15,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,90.0,119.5,0.0,-7.984430765589502e-14,11.075814287716018,0.0014799177878722434,0.0014799177878722434,0.0001336170641208379,1,0,1.9984014443252818e-15,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,90.0,119.5,1.0,-6.776942234250656e-14,11.075814287716018,0.001412221651615878,0.001412221651615878,0.00012750499556336432,1,0,1.9984014443252818e-15,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,112.0,119.5,-1.0,-6.349268117220899e-14,11.075814287716018,0.0012756614963841265,0.0012756614963841265,0.00011517541403695611,1,0,1.9984014443252818e-15,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,112.0,119.5,0.0,-5.713494931675353e-14,11.075814287716018,0.001207971887111143,0.001207971887111143,0.00010906393478002628,1,0,1.9984014443252818e-15,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,112.0,119.5,1.0,-5.922686612245908e-14,11.075814287716018,0.0011402865196542382,0.0011402865196542382,0.0001029528385031617,1,0,1.9984014443252818e-15,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,30.0,119.6,-1.0,7.264631199534975e-13,11.075814287716018,0.0021378413886482504,0.0021378413886482504,0.00019301889081142242,1,0,1.1102230246251565e-16,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,30.0,119.6,0.0,7.238696488858001e-13,11.075814287716018,0.002062876785419909,0.002062876785419909,0.00018625057551820888,1,0,1.1102230246251565e-16,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,30.0,119.6,1.0,7.202389376767176e-13,11.075814287716018,0.0019879167423609003,0.0019879167423609003,0.00017948267194816208,1,0,1.1102230246251565e-16,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,60.0,119.6,-1.0,6.833910953389121e-13,11.075814287716018,0.0018908939678250125,0.0018908939678250125,0.0001707227946140419,1,0,1.1102230246251565e-16,0,True,True
