[07:10:16][RunControl][WARNING] 控制循环超时: 50.7ms > 20ms
[07:10:16][RunControl][WARNING] 控制循环超时: 83.2ms > 20ms
[07:10:17][RunControl][WARNING] 控制循环超时: 139.6ms > 20ms
[07:10:17][RunControl][WARNING] 控制循环超时: 102.1ms > 20ms
[07:10:17][RunControl][WARNING] 控制循环超时: 93.8ms > 20ms
[07:10:17][RunControl][WARNING] 控制循环超时: 105.7ms > 20ms
[07:10:17][RunControl][WARNING] 控制循环超时: 79.2ms > 20ms
[07:10:17][RunControl][WARNING] 控制循环超时: 87.8ms > 20ms
[07:10:17][RunControl][INFO] [Step  500] pos=(76.6,-666.8,266.1)mm  |u|=707.1mm/s²  F=1.0N  comfort=1.000  pinn_ready=False pinn_busy=True
[07:10:17][RunControl][WARNING] 控制循环超时: 84.4ms > 20ms
[07:10:17][RunControl][WARNING] 控制循环超时: 40.4ms > 20ms
[07:10:17][RunControl][WARNING] 控制循环超时: 49.3ms > 20ms
[07:10:17][RunControl][WARNING] 控制循环超时: 65.4ms > 20ms
[07:10:17][RunControl][WARNING] 控制循环超时: 70.5ms > 20ms
[07:10:17][RunControl][WARNING] 控制循环超时: 95.8ms > 20ms
[07:10:18][RunControl][WARNING] 控制循环超时: 68.2ms > 20ms
[07:10:18][RunControl][WARNING] 控制循环超时: 71.0ms > 20ms
[07:10:18][RunControl][WARNING] 控制循环超时: 46.2ms > 20ms
[07:10:18][RunControl][WARNING] 控制循环超时: 92.8ms > 20ms
[07:10:18][RunControl][WARNING] 控制循环超时: 101.7ms > 20ms
[07:10:18][RunControl][WARNING] 控制循环超时: 48.7ms > 20ms
[07:10:18][RunControl][WARNING] 控制循环超时: 74.8ms > 20ms
[07:10:19][RunControl][INFO] [Step  550] pos=(77.5,-666.7,265.2)mm  |u|=707.1mm/s²  F=1.0N  comfort=1.000  pinn_ready=False pinn_busy=True
[07:10:19][RunControl][WARNING] 控制循环超时: 112.6ms > 20ms
[07:10:19][RunControl][WARNING] 控制循环超时: 123.8ms > 20ms
[07:10:19][RunControl][WARNING] 控制循环超时: 58.2ms > 20ms
[07:10:19][RunControl][WARNING] 控制循环超时: 132.9ms > 20ms
[07:10:20][RunControl][WARNING] 控制循环超时: 33.3ms > 20ms
[07:10:20][RunControl][WARNING] 控制循环超时: 32.2ms > 20ms
[07:10:20][RunControl][WARNING] 控制循环超时: 72.2ms > 20ms
[07:10:20][RunControl][WARNING] 控制循环超时: 133.6ms > 20ms
[07:10:20][RunControl][WARNING] 控制循环超时: 75.4ms > 20ms
[07:10:20][RunControl][WARNING] 控制循环超时: 134.2ms > 20ms
