main_loop_timestamp_ns,loop_period_ms,rt_sequence,rt_timestamp_s,rt_age_ms,rt_valid,operation_state,wrench_sequence,wrench_age_ms,wrench_valid,wrench_stale,wrench_worker_alive,wrench_query_in_flight,wrench_in_flight_age_ms,last_wrench_error,last_wrench_error_code
3116313796079600,0.165,344,3116313.7879203,8.20189993828535,True,IDLE,55,14.7735,True,False,True,False,,,
3116313811873700,15.7941,346,3116313.8042394,7.716999854892492,True,IDLE,55,30.5676,True,False,True,False,,,
3116313843776400,31.9027,350,3116313.8359175,7.9517001286149025,True,IDLE,56,14.5753,True,False,True,False,,,
3116313843952000,0.1756,350,3116313.8359175,8.076300378888845,True,IDLE,56,14.7509,True,False,True,False,,,
3116313859754600,15.8026,352,3116313.8519022,7.935100235044956,True,IDLE,56,30.5535,True,False,True,False,,,
3116313875712500,15.9579,354,3116313.8678774,7.919199764728546,True,IDLE,56,46.5114,True,False,True,False,,,
3116313875875500,0.163,354,3116313.8678774,8.041900116950274,True,IDLE,56,46.6744,True,False,True,False,,,
3116313891799100,15.9236,356,3116313.8858392,6.034699734300375,True,IDLE,57,6.4665,True,False,True,False,,,
3116313907762500,15.9634,358,3116313.8998741,7.971200160682201,True,IDLE,57,22.4299,True,False,True,False,,,
3116313907922700,0.1602,358,3116313.8998741,8.092999923974276,True,IDLE,57,22.5901,True,False,True,False,,,
3116313947871200,39.9485,363,3116313.9399506,8.004700299352407,True,IDLE,58,14.4581,True,False,True,False,,,
3116313948037500,0.1663,363,3116313.9399506,8.13239999115467,True,IDLE,58,14.6244,True,False,True,False,,,
3116313971714400,23.6769,366,3116313.9638356,7.966400124132633,True,IDLE,58,38.3013,True,False,True,False,,,
3116313971884500,0.1701,366,3116313.9638356,8.103200234472752,True,IDLE,58,38.4714,True,False,True,False,,,
3116313987680800,15.7963,368,3116313.9800072,7.825999986380339,True,IDLE,58,54.2677,True,False,True,False,,,
3116314003751300,16.0705,370,3116313.9960162,8.067499846220016,True,IDLE,59,14.4181,True,False,True,False,,,
3116314004231600,0.4803,370,3116313.9960162,8.296599611639977,True,IDLE,59,14.8984,True,False,True,False,,,
3116314027876700,23.6451,373,3116314.0207176,7.248099893331528,True,IDLE,59,38.5435,True,False,True,False,,,
3116314028044900,0.1682,373,3116314.0207176,7.368899881839752,True,IDLE,59,38.7117,True,False,True,False,,,
3116314043880700,15.8358,375,3116314.0360235,7.964800111949444,True,IDLE,60,13.8869,True,False,True,False,,,
3116314059865700,15.985,377,3116314.0520222,7.923699915409088,True,IDLE,60,29.8719,True,False,True,False,,,
3116314060023000,0.1573,377,3116314.0520222,8.0422000028193,True,IDLE,60,30.0292,True,False,True,False,,,
3116314083863800,23.8408,380,3116314.0760213,7.922699674963951,True,IDLE,60,53.87,True,False,True,False,,,
