model,family,tier,method,K_additional,improvement_pct,regret,normalized_regret,constraint_violations
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.01,REFERENCE,1,0.0,0.0046932819722131,1.0,0.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.01,REFERENCE,2,0.0,0.0046932819722131,1.0,0.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.01,REFERENCE,3,0.0,0.0046932819722131,1.0,0.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.01,RANDOM,0,0.0,0.0046932819722131,1.0,0.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.01,RANDOM,1,0.024280932677163136,0.004450472645441474,0.9482644920528542,0.9
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.01,RANDOM,2,0.047579720272205576,0.00421748476949106,0.8986216456758752,1.75
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.01,RANDOM,3,0.06788813438797059,0.004014400628333409,0.855350403427909,2.7
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.01,ADAPTIVE_GREEDY,0,0.0,0.0046932819722131,1.0,0.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.01,ADAPTIVE_GREEDY,1,0.0,0.0046932819722131,1.0,1.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.01,ADAPTIVE_GREEDY,2,0.0,0.0046932819722131,1.0,2.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.01,ADAPTIVE_GREEDY,3,0.0,0.0046932819722131,1.0,3.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.01,PURE_BO_EI,0,0.0,0.0046932819722131,1.0,0.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.01,PURE_BO_EI,1,0.0,0.0046932819722131,1.0,1.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.01,PURE_BO_EI,2,0.0,0.0046932819722131,1.0,2.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.01,PURE_BO_EI,3,0.0,0.0046932819722131,1.0,3.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.01,MODEL_INFORMED_BO_EI,0,0.0,0.0046932819722131,1.0,0.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.01,MODEL_INFORMED_BO_EI,1,0.0,0.0046932819722131,1.0,1.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.01,MODEL_INFORMED_BO_EI,2,0.0,0.0046932819722131,1.0,2.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.01,MODEL_INFORMED_BO_EI,3,0.0,0.0046932819722131,1.0,3.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.02,REFERENCE,0,0.0,0.0087148917180107,1.0,0.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.02,REFERENCE,1,0.0,0.0087148917180107,1.0,0.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.02,REFERENCE,2,0.0,0.0087148917180107,1.0,0.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.02,REFERENCE,3,0.0,0.0087148917180107,1.0,0.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.02,RANDOM,0,0.0,0.0087148917180107,1.0,0.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.02,RANDOM,1,0.08731657338802712,0.007841725984130434,0.8998076210085628,0.75
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.02,RANDOM,2,0.12637218498757816,0.007451169868134926,0.8549928225425806,1.45
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.02,RANDOM,3,0.18145808841111552,0.006900310833899555,0.7917838863836915,2.25
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.02,ADAPTIVE_GREEDY,0,0.0,0.0087148917180107,1.0,0.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.02,ADAPTIVE_GREEDY,1,0.0,0.0087148917180107,1.0,1.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.02,ADAPTIVE_GREEDY,2,0.0,0.0087148917180107,1.0,2.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.02,ADAPTIVE_GREEDY,3,0.0,0.0087148917180107,1.0,3.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.02,PURE_BO_EI,0,0.0,0.0087148917180107,1.0,0.0
