case_id,subject_id,scenario_name,policy_id,iteration,policy_decision,true_local_improvement_available,missed_improvement_round,best_local_delta_J_truth,policy_complete_before_truth_audit,truth_fed_back_to_policy
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,BUNDLE_3,1,STOP,True,True,-0.0053637159649,True,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,BUNDLE_5,1,EXPLOIT,True,False,-0.0088994924968,True,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,BUNDLE_5,2,EXPLOIT,True,False,-0.0087007167583,True,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,BUNDLE_5,3,EXPLOIT,True,False,-0.00850442853529,True,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,BUNDLE_5,4,EXPLOIT,True,False,-0.00831057139102,True,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,BUNDLE_5,5,STOP,False,False,-0.00121611764074,True,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,SINGLE_STEP,1,STOP,False,False,-0.0015409564399,True,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,BUNDLE_2,1,STOP,False,False,-0.00307617244582,True,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,BUNDLE_3,1,STOP,False,False,-0.00460610546901,True,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,BUNDLE_5,1,EXPLOIT,True,False,-0.00765013784374,True,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,BUNDLE_5,2,EXPLOIT,True,False,-0.00751790867595,True,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,BUNDLE_5,3,EXPLOIT,True,False,-0.00738668160593,True,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,BUNDLE_5,4,EXPLOIT,True,False,-0.00725607653603,True,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,BUNDLE_5,5,STOP,False,False,-0.00234459373954,True,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,SINGLE_STEP,1,STOP,False,False,-0.00148434783298,True,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,BUNDLE_2,1,STOP,False,False,-0.00296346268616,True,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,BUNDLE_3,1,STOP,False,False,-0.0044377252,True,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,BUNDLE_5,1,EXPLOIT,True,False,-0.00737171021331,True,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,BUNDLE_5,2,EXPLOIT,True,False,-0.00725035537532,True,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,BUNDLE_5,3,EXPLOIT,True,False,-0.00712997148926,True,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,BUNDLE_5,4,EXPLOIT,True,False,-0.00701024731048,True,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,BUNDLE_5,5,STOP,False,False,-0.00222178149607,True,False
baseline__structured_residual,baseline,structured_residual,SINGLE_STEP,1,STOP,False,False,-0.00147178082842,True,False
baseline__structured_residual,baseline,structured_residual,BUNDLE_2,1,STOP,False,False,-0.00293811643722,True,False
baseline__structured_residual,baseline,structured_residual,BUNDLE_3,1,STOP,False,False,-0.00439943296957,True,False
baseline__structured_residual,baseline,structured_residual,BUNDLE_5,1,EXPLOIT,True,False,-0.0073070329284,True,False
baseline__structured_residual,baseline,structured_residual,BUNDLE_5,2,EXPLOIT,True,False,-0.00718159980627,True,False
baseline__structured_residual,baseline,structured_residual,BUNDLE_5,3,EXPLOIT,True,False,-0.00705740584516,True,False
baseline__structured_residual,baseline,structured_residual,BUNDLE_5,4,EXPLOIT,True,False,-0.00693409785869,True,False
baseline__structured_residual,baseline,structured_residual,BUNDLE_5,5,STOP,False,False,-0.00222224292744,True,False
baseline__combined_mild,baseline,combined_mild,SINGLE_STEP,1,STOP,False,False,-0.00172312331363,True,False
baseline__combined_mild,baseline,combined_mild,BUNDLE_2,1,STOP,False,False,-0.00343880344522,True,False
baseline__combined_mild,baseline,combined_mild,BUNDLE_3,1,STOP,True,True,-0.00514728225123,True,False
baseline__combined_mild,baseline,combined_mild,BUNDLE_5,1,EXPLOIT,True,False,-0.00854268927411,True,False
baseline__combined_mild,baseline,combined_mild,BUNDLE_5,2,EXPLOIT,True,False,-0.00836344197879,True,False
baseline__combined_mild,baseline,combined_mild,BUNDLE_5,3,EXPLOIT,True,False,-0.00818616663941,True,False
baseline__combined_mild,baseline,combined_mild,BUNDLE_5,4,EXPLOIT,True,False,-0.00801071194633,True,False
baseline__combined_mild,baseline,combined_mild,BUNDLE_5,5,STOP,False,False,-0.00176101921788,True,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,SINGLE_STEP,1,EXPLORE,False,False,-0.00159708142236,True,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,SINGLE_STEP,2,EXPLORE,False,False,-0.00159708142236,True,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,SINGLE_STEP,3,EXPLORE,False,False,-0.00159708142236,True,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,SINGLE_STEP,4,EXPLORE,False,False,-0.00159708142236,True,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,SINGLE_STEP,5,EXPLORE,False,False,-0.00159708142236,True,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,SINGLE_STEP,6,EXPLORE,False,False,-0.00159708142236,True,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,SINGLE_STEP,7,EXPLORE,False,False,-0.00159708142236,True,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,SINGLE_STEP,8,EXPLORE,False,False,-0.00159708142236,True,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,SINGLE_STEP,9,STOP,False,False,-0.00159708142236,True,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,BUNDLE_2,1,EXPLORE,False,False,-0.00318762266102,True,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,BUNDLE_2,2,EXPLORE,False,False,-0.00318762266102,True,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,BUNDLE_2,3,EXPLORE,False,False,-0.00318762266102,True,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,BUNDLE_2,4,EXPLORE,False,False,-0.00318762266102,True,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,BUNDLE_2,5,EXPLORE,False,False,-0.00318762266102,True,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,BUNDLE_2,6,EXPLORE,False,False,-0.00318762266102,True,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,BUNDLE_2,7,EXPLORE,False,False,-0.00318762266102,True,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,BUNDLE_2,8,EXPLORE,False,False,-0.00318762266102,True,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,BUNDLE_2,9,STOP,False,False,-0.00318762266102,True,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,BUNDLE_3,1,EXPLORE,False,False,-0.00477213057022,True,False
