case_id,subject_id,scenario_name,domain_coverage_percent,existing_90_percent_gate_pass,point_count,mean_e_J_abs,median_e_J_abs,decision_sign_accuracy,false_improvement_rate,mean_absolute_rank_percentile_error,within_group_spearman_rank_correlation,coverage_gate_modified
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,79.052369,False,406,9.8770153404e-07,8.70898919869e-07,1,0,1.25349249955e-05,0.999999462068,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,79.301746,False,319,1.59173189941e-06,1.49516349879e-06,1,0,2.44521561509e-05,0.999998521323,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,79.551122,False,57,1.42322653239e-06,1.31021988947e-06,1,0,5.75755679329e-05,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,79.800499,False,349,6.10891933685e-07,5.44867111429e-07,1,0,9.40345951913e-06,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,80.049875,False,339,1.33888708504e-06,1.29080949463e-06,0.997050147493,0,2.79201259913e-05,0.999999075925,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,80.299252,False,42,1.37735537473e-06,1.19958732275e-06,1,0,4.75624256837e-05,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,80.548628,False,45,1.26675434304e-06,1.15318184368e-06,1,0,3.91068833399e-05,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,80.798005,False,108,4.64468235404e-07,3.46537590068e-07,1,0,2.99467124675e-05,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,81.047382,False,347,5.99214347916e-07,5.27272551842e-07,1,0,1.53515610276e-05,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,81.296758,False,245,1.13086740818e-06,1.05324385324e-06,1,0,2.81491907108e-05,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,81.546135,False,387,2.17478296806e-06,2.17854127393e-06,1,0,2.69151711233e-05,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,81.795511,False,163,4.46282889558e-07,4.16539093329e-07,1,0,4.55198675255e-05,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,82.044888,False,182,2.24754273848e-07,2.00486127033e-07,1,0,1.38505964903e-05,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,82.294264,False,336,5.59121137173e-07,5.39282725587e-07,1,0,1.85436838231e-05,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,82.543641,False,494,2.01234092255e-06,1.82391703846e-06,1,0,2.57068171205e-05,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,82.793017,False,163,4.45175924013e-07,4.00301884862e-07,1,0,4.61034555707e-05,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,83.790524,False,362,2.38848233743e-06,2.39516464762e-06,1,0,2.47009282556e-05,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,84.0399,False,163,4.48946035995e-07,3.79803869688e-07,1,0,3.82250169605e-05,1,False
