hip_target_deg,direction,time_s,desired_knee_deg,actual_knee_deg,source_equality_max_abs_residual,source_equality_max_abs_force,auxiliary_joint_positions_json,finite,warning_count
110.0,DESCENDING_125_TO_100,11.72,124.0335123991552,123.54341491416633,0.0006618562806122389,466.29186054803984,"[0.006895107849250879,0.0015883582516434643,-0.0008274601328559607,0.26104017667631524,-0.01581151431678176,-0.023613657858324033,-1.864881141405927]",True,0
110.0,DESCENDING_125_TO_100,11.74,124.0028083618064,123.51701391917496,0.000661204223331306,465.8150581837882,"[0.006894882479696925,0.0015879928212011209,-0.0008366867828365125,0.2610449555227003,-0.01582813731058575,-0.023608763723199516,-1.8643263723266488]",True,0
110.0,DESCENDING_125_TO_100,11.76,123.9715420839936,123.49012466038033,0.0006605405168427121,465.3300290811604,"[0.006894652385491364,0.0015876211502310568,-0.0008460377647276031,0.2610498198120136,-0.01584506865185762,-0.023603766859657854,-1.863761578344092]",True,0
110.0,DESCENDING_125_TO_100,11.78,123.9397119606448,123.46274550181597,0.0006598651578748026,464.8367749735354,"[0.006894417522386529,0.0015872432419830494,-0.000855511140415576,0.2610547696622398,-0.015862309396396452,-0.023598666284714197,-1.8631867377460272]",True,0
110.0,DESCENDING_125_TO_100,11.8,123.90731647999999,123.4348748827432,0.000659178146003918,464.33529957874265,"[0.006894177846103016,0.0015868591012778506,-0.0008651048926711946,0.2610598051723337,-0.015879860552132162,-0.023593461013735502,-1.862601830660388]",True,0
110.0,DESCENDING_125_TO_100,11.82,123.8743542230352,123.40651131722123,0.0006584794836352161,463.82560858493304,"[0.0068939333123281855,0.001586468734498681,-0.0008748169257048194,0.2610649264222195,-0.01589772307934081,-0.023588150060390754,-1.8620068390437492]",True,0
110.0,DESCENDING_125_TO_100,11.84,123.8408238628864,123.37765339368102,0.000657769175983064,463.30770963581455,"[0.006893683876715061,0.0015860721495824536,-0.0008846450657544553,0.26107013347279073,-0.015915897890856224,-0.023582732436610427,-1.8614017466696995]",True,0
110.0,DESCENDING_125_TO_100,11.86,123.8067241642736,123.34829977450323,0.0006570472310511548,462.7816123157031,"[0.006893429494881615,0.0015856693560107682,-0.0008945870617060219,0.2610754263659085,-0.015934385852277515,-0.023577207152555145,-1.860786539117123]",True,0
110.0,DESCENDING_125_TO_100,11.88,123.7720539829248,123.31844919560005,0.0006563136596114986,462.2473281343137,"[0.0068931701224104296,0.001585260364800636,-0.0009046405857463376,0.26108080512439996,-0.015953187782173483,-0.023571573216593856,-1.8601612037583821]",True,0
110.0,DESCENDING_125_TO_100,11.9,123.736812265,123.28810046600059,0.0006555684751832639,461.70487051088935,"[0.0068929057148487466,0.0015848451884949435,-0.0009148032340482302,0.26108626975205595,-0.015972304452283106,-0.02356582963529178,-1.859525729747401]",True,0
110.0,DESCENDING_125_TO_100,11.92,123.7009980465152,123.25725246744005,0.0006548116940113379,461.15425475820643,"[0.006892636227708899,0.0015844238411526809,-0.0009250725274877191,0.2610918202336291,-0.015991736587712198,-0.023559975413408187,-1.858880108007656]",True,0
110.0,DESCENDING_125_TO_100,11.94,123.6646104527664,123.22590415395321,0.0006540433350439552,460.59549806611443,"[0.006892361616469133,0.0015839963383389053,-0.0009354459123930807,0.2610974565348307,-0.01601148486712706,-0.02355400955390441,-1.8582243312200717]",True,0
110.0,DESCENDING_125_TO_100,11.96,123.6276486977536,123.1940545514709,0.0006532634199098025,460.02861948479483,"[0.006892081836574788,0.0015835626971144464,-0.0009459207613257654,0.261103178602328,-0.0160315499229445,-0.02354793105796233,-1.8575583938108198]",True,0
