rom_protocol_version,theta_shank_definition,q_hip_rad,q_knee_rad,theta_shank_rad,q_hip_deg,q_knee_deg,x_knee,z_knee,x_pull,z_pull,reachable,near_singular,jacobian_determinant,jacobian_condition_number,jacobian_near_singular,jacobian_mapping_valid
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.3439035240356338,-0.33161255787892263,58.0,77.0,0.22256609097794605,0.35618020038569886,0.506221663657741,0.25850975404855187,True,False,0.1227706281629396,3.035248547930416,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.361356816555577,-0.34906585039886573,58.0,78.0,0.22256609097794605,0.35618020038569886,0.5044738772137185,0.2535741573879983,True,False,0.12324659769245944,2.981471692290832,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.3788101090755203,-0.36651914291880905,58.0,79.0,0.22256609097794605,0.35618020038569886,0.5026402189271066,0.24866981552210882,True,False,0.12368502511440564,2.928841644309114,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.3962634015954636,-0.38397243543875237,58.0,80.0,0.22256609097794605,0.35618020038569886,0.5007212473479823,0.2437982223609253,True,False,0.12408577687953821,2.877314348195095,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.413716694115407,-0.4014257279586957,58.0,81.0,0.22256609097794605,0.35618020038569886,0.49871754701367815,0.23896086183891677,True,False,0.12444873091498732,2.8268479044713195,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.4311699866353502,-0.418879020478639,58.0,82.0,0.22256609097794605,0.35618020038569886,0.4966297282707263,0.23415920746295882,True,False,0.12477377666143784,2.777402438236228,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.4486232791552935,-0.43633231299858233,58.0,83.0,0.22256609097794605,0.35618020038569886,0.494458427088941,0.22939472186348905,True,False,0.1250608151068065,2.7289399769469775,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.4660765716752369,-0.45378560551852565,58.0,84.0,0.22256609097794605,0.35618020038569886,0.4922043048676962,0.22466885634897565,True,False,0.12530975881640244,2.6814243369288304,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.4835298641951802,-0.47123889803846897,58.0,85.0,0.22256609097794605,0.35618020038569886,0.4898680482344564,0.21998305046383482,True,False,0.12552053195955992,2.6348210178928246,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.5009831567151235,-0.4886921905584123,58.0,86.0,0.22256609097794605,0.35618020038569886,0.48745036883562415,0.21533873154993163,True,False,0.12569307033273783,2.5890971048102904,False,True
